City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Masyaf,SY,2021-01-30 23:11:40,35.0653,36.3406,60.8,67,75,23.02
239,Drumheller,CA,2021-01-30 23:11:40,51.4617,-112.7101,15.8,67,52,4.61
240,Indiana,US,2021-01-30 23:11:40,40.0003,-86.2503,34.0,93,90,14.97
241,Mukhen,RU,2021-01-30 23:11:40,48.1,136.1,-17.39,85,44,6.15
242,Tochio,JP,2021-01-30 23:11:41,37.4667,139.0,32.0,95,100,5.06
243,Westport,US,2021-01-30 23:08:50,41.1415,-73.3579,27.0,39,1,4.61
244,Polunochnoye,RU,2021-01-30 23:11:41,60.8697,60.4153,-13.04,90,100,3.24
245,San Buenaventura,MX,2021-01-30 23:11:41,27.0833,-101.5333,77.16,35,14,14.09
246,Maceio,BR,2021-01-30 23:07:03,-9.6658,-35.7353,77.0,94,40,4.61
247,Lima,PE,2021-01-30 23:10:00,-12.0432,-77.0282,73.0,73,0,16.11
248,Ust-Nera,RU,2021-01-30 23:11:42,64.5667,143.2,-24.77,76,100,8.01
249,Mildura,AU,2021-01-30 23:06:57,-34.2,142.15,69.01,60,0,10.36
250,Pimenta Bueno,BR,2021-01-30 23:11:42,-11.6725,-61.1936,76.98,89,78,1.48
251,Kasungu,MW,2021-01-30 23:11:42,-13.0333,33.4833,65.82,93,100,2.8
252,Nanortalik,GL,2021-01-30 23:00:44,60.1432,-45.2371,29.91,90,100,9.93
253,Shimsk,RU,2021-01-30 23:11:43,58.212,30.7127,20.46,98,87,5.19
254,Honiara,SB,2021-01-30 23:09:12,-9.4333,159.95,79.54,85,100,5.46
255,Torbay,CA,2021-01-30 23:11:43,47.6666,-52.7314,28.99,93,90,10.36
256,Zonguldak,TR,2021-01-30 23:08:41,41.25,31.8333,39.07,98,100,5.79
257,Kharp,RU,2021-01-30 23:11:43,66.8014,65.8081,-21.55,85,100,6.02
258,Coihaique,CL,2021-01-30 23:02:27,-45.5752,-72.0662,73.4,28,20,10.36
259,Cayenne,GF,2021-01-30 23:00:07,4.9333,-52.3333,80.6,89,90,9.22
260,San Cristobal,VE,2021-01-30 23:01:52,7.7669,-72.225,82.4,61,40,10.36
261,Spanish Town,JM,2021-01-30 23:11:44,17.9911,-76.9574,84.2,61,20,8.05
262,Nukus,UZ,2021-01-30 23:10:06,42.4531,59.6103,32.0,80,0,4.61
263,Sibolga,ID,2021-01-30 23:11:44,1.7427,98.7792,75.31,78,95,4.45
264,Coos Bay,US,2021-01-30 23:11:44,43.3665,-124.2179,51.8,76,90,9.51
265,Longyearbyen,SJ,2021-01-30 23:02:08,78.2186,15.6401,-5.8,59,20,19.57
266,Sao Joao Da Barra,BR,2021-01-30 23:02:22,-21.6403,-41.0511,77.9,81,9,20.89
267,Ternate,ID,2021-01-30 23:11:45,0.8,127.4,79.18,78,100,6.08
268,Isangel,VU,2021-01-30 23:02:04,-19.55,169.2667,82.4,69,40,9.22
269,Juneau,US,2021-01-30 23:10:20,58.3019,-134.4197,32.0,80,90,4.99
270,Ayagoz,KZ,2021-01-30 23:02:04,47.9714,80.4392,15.06,87,69,14.94
271,Gravelbourg,CA,2021-01-30 23:11:45,49.8834,-106.5512,5.0,78,5,3.44
272,Goderich,CA,2021-01-30 23:07:21,43.7501,-81.7165,26.6,68,100,5.75
273,Cabo San Lucas,MX,2021-01-30 23:00:00,22.8909,-109.9124,75.2,57,20,11.5
274,Ust-Kuyga,RU,2021-01-30 23:11:46,70.0167,135.6,-36.42,81,68,3.44
275,Golden Gate,US,2021-01-30 23:08:57,26.1879,-81.6951,72.0,60,75,3.44
276,Bandarbeyla,SO,2021-01-30 23:09:04,9.4942,50.8122,73.54,74,26,14.63
277,Sur,OM,2021-01-30 23:02:24,22.5667,59.5289,66.02,53,0,6.42
278,Salalah,OM,2021-01-30 22:59:11,17.0151,54.0924,68.0,64,0,5.75
279,Iralaya,HN,2021-01-30 23:01:09,15.0,-83.2333,78.62,75,39,9.1
280,Kaunas,LT,2021-01-30 23:07:13,54.9,23.9,24.8,80,75,9.22
281,Tam Ky,VN,2021-01-30 23:11:47,15.5667,108.4833,69.8,94,40,3.44
282,Sarkand,KZ,2021-01-30 23:01:50,45.41,79.9186,28.18,66,59,4.41
283,Tuktoyaktuk,CA,2021-01-30 23:01:54,69.4541,-133.0374,-34.6,67,40,2.3
284,Ambad,IN,2021-01-30 23:07:10,19.6167,75.8,64.6,27,0,8.16
285,New Norfolk,AU,2021-01-30 23:01:56,-42.7826,147.0587,69.01,61,15,1.01
286,Moron,AR,2021-01-30 23:02:25,-34.6534,-58.6198,64.99,89,100,5.01
287,Adwa,ET,2021-01-30 23:11:47,14.1646,38.8955,51.49,67,0,2.53
288,Naze,JP,2021-01-30 23:02:14,28.3667,129.4833,55.4,58,75,9.22
289,Sangar,RU,2021-01-30 23:10:58,63.9242,127.4739,-49.36,76,87,3.27
290,Yagodnoye,RU,2021-01-30 23:11:48,62.55,149.6667,-27.0,82,100,4.61
291,Faanui,PF,2021-01-30 23:02:19,-16.4833,-151.75,81.03,72,74,7.72
292,Manavalakurichi,IN,2021-01-30 23:11:48,8.1333,77.3,80.6,83,20,6.13
